request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_49,10260400.3,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-18,none,Deterministic calculation selected installments.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Deterministic calculation selected full_payment.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Deterministic calculation selected full_payment.
request_52,21039.02,affordable_later,wait,2024-06-14:28870,2024-06-14,none,Deterministic calculation selected wait.
request_53,883.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-13,none,Deterministic calculation selected installments.
request_54,5314.38,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_55,152330.74,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-14,none,Deterministic calculation selected installments.
request_56,683.5,affordable_with_plan,partial_payment,2025-02-03:683.5|2025-02-14:198.06,2025-02-14,none,Deterministic calculation selected partial_payment.
request_57,9333.22,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Deterministic calculation selected full_payment.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Deterministic calculation selected installments.
request_60,185.92,affordable_later,wait,2026-02-13:199.89,2026-02-13,none,Deterministic calculation selected wait.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Deterministic calculation selected installments.
request_62,404.22,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Deterministic calculation selected full_payment.
request_63,56546.58,affordable_with_plan,partial_payment,2026-07-07:56546.58|2026-09-13:287353.42,2026-09-13,none,Deterministic calculation selected partial_payment.
request_64,51103.18,not_affordable,not_recommended,none,2024-08-13,none,Deterministic calculation selected not_recommended.
request_65,8106.14,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Deterministic calculation selected full_payment.
request_67,373.7,affordable_later,wait,2024-09-14:2094,2024-09-14,none,Deterministic calculation selected wait.
request_68,1289.96,not_affordable,not_recommended,none,2025-04-15,none,Deterministic calculation selected not_recommended.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Deterministic calculation selected full_payment.
request_70,60782.72,not_affordable,not_recommended,none,2025-02-16,none,Deterministic calculation selected not_recommended.
request_71,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Deterministic calculation selected full_payment.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Deterministic calculation selected full_payment.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Deterministic calculation selected full_payment.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Deterministic calculation selected installments.
request_76,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Deterministic calculation selected full_payment.
request_78,19260.28,not_affordable,not_recommended,none,2025-12-17,none,Deterministic calculation selected not_recommended.
request_79,790.6,affordable_with_plan,partial_payment,2024-09-04:790.6|2024-10-14:1361,2024-10-14,none,Deterministic calculation selected partial_payment.
request_80,147480,not_affordable,not_recommended,none,2025-04-15,none,Deterministic calculation selected not_recommended.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Deterministic calculation selected full_payment.
request_82,513.62,not_affordable,not_recommended,none,2025-02-16,none,Deterministic calculation selected not_recommended.
request_83,4294.14,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_84,34375.68,affordable_later,wait,2026-06-13:95400,2026-06-13,none,Deterministic calculation selected wait.
request_85,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Deterministic calculation selected full_payment.
request_87,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_88,11959.78,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-14,none,Deterministic calculation selected installments.
request_89,9120777.44,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-14,none,Deterministic calculation selected installments.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Deterministic calculation selected full_payment.
request_91,1379.7,affordable_later,wait,2024-11-13:1927.2,2024-11-13,none,Deterministic calculation selected wait.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Deterministic calculation selected full_payment.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Deterministic calculation selected full_payment.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Deterministic calculation selected full_payment.
request_95,36649.48,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_96,79700.42,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-14,none,Deterministic calculation selected installments.
request_97,3037.5,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,Deterministic calculation selected installments.
request_98,10060.92,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Deterministic calculation selected full_payment.
request_100,28632.96,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-14,none,Deterministic calculation selected installments.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Deterministic calculation selected full_payment.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Deterministic calculation selected installments.
request_103,23584.04,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Deterministic calculation selected full_payment.
request_105,39822.32,not_affordable,not_recommended,none,2026-08-13,none,Deterministic calculation selected not_recommended.
request_106,389.3,not_affordable,not_recommended,none,2025-02-16,none,Deterministic calculation selected not_recommended.
request_107,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_108,1832,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_109,617.86,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Deterministic calculation selected installments.
request_110,20899.02,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Deterministic calculation selected full_payment.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Deterministic calculation selected full_payment.
request_113,9039.01,not_affordable,not_recommended,none,2026-11-13,none,Deterministic calculation selected not_recommended.
request_114,36966.87,not_affordable,not_recommended,none,2026-03-15,none,Deterministic calculation selected not_recommended.
request_115,16712.7,affordable_later,wait,2024-11-13:80500,2024-11-13,none,Deterministic calculation selected wait.
request_116,10284.45,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Deterministic calculation selected full_payment.
request_118,403.62,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_119,46250.04,not_affordable,not_recommended,none,2025-07-20,none,Deterministic calculation selected not_recommended.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Deterministic calculation selected full_payment.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Deterministic calculation selected full_payment.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Deterministic calculation selected installments.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Deterministic calculation selected full_payment.
request_124,1708.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-14,none,Deterministic calculation selected installments.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Deterministic calculation selected full_payment.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Deterministic calculation selected full_payment.
request_127,17409.96,affordable_later,wait,2024-10-12:23980,2024-10-12,none,Deterministic calculation selected wait.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Deterministic calculation selected full_payment.
request_129,110.22,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_130,247.97,not_affordable,not_recommended,none,2025-02-16,none,Deterministic calculation selected not_recommended.
request_131,1392.22,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-14,none,Deterministic calculation selected installments.
request_132,376.34,affordable_later,wait,2026-01-14:379.86,2026-01-14,none,Deterministic calculation selected wait.
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,Deterministic calculation selected not_recommended.
request_134,6847472.46,affordable_later,wait,2025-08-14:21831000,2025-08-14,none,Deterministic calculation selected wait.
request_135,301.6,not_affordable,not_recommended,none,2026-07-15,none,Deterministic calculation selected full_payment.
request_136,386.94,affordable_with_plan,partial_payment,2024-06-03:386.94|2024-06-14:173.46,2024-06-14,none,Deterministic calculation selected partial_payment.
request_137,31337.6,affordable_later,wait,2026-01-13:80100,2026-01-13,none,Deterministic calculation selected wait.
request_138,925.5,affordable_with_plan,partial_payment,2026-04-07:925.5|2026-04-14:331.44,2026-04-14,none,Deterministic calculation selected partial_payment.
request_139,1716.58,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-14,none,Deterministic calculation selected installments.
request_140,5292.66,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_141,16543.88,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Deterministic calculation selected full_payment.
request_143,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_144,15.04,not_affordable,not_recommended,none,2026-09-16,none,Deterministic calculation selected not_recommended.
request_145,43358.04,not_affordable,not_recommended,none,2024-05-18,none,Deterministic calculation selected not_recommended.
request_146,24884.06,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_147,461.56,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-14,none,Deterministic calculation selected installments.
request_148,8988.3,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-14,none,Deterministic calculation selected installments.
request_149,22599,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-14,none,Deterministic calculation selected installments.
request_150,256.34,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Deterministic calculation selected full_payment.
request_152,6612.78,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_153,84.98,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Deterministic calculation selected installments.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Deterministic calculation selected full_payment.
request_156,8761.56,affordable_later,wait,2026-06-13:43076,2026-06-13,none,Deterministic calculation selected wait.
request_157,4955586.22,affordable_later,wait,2024-04-17:23503000,2024-04-17,none,Deterministic calculation selected wait.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Deterministic calculation selected installments.
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Deterministic calculation selected full_payment.
request_160,569.22,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-14,none,Deterministic calculation selected installments.
request_161,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_162,2023403.56,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_163,1194336.04,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Deterministic calculation selected installments.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Deterministic calculation selected full_payment.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Deterministic calculation selected installments.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Deterministic calculation selected full_payment.
request_168,38431.58,affordable_with_plan,partial_payment,2026-01-07:38431.58|2026-03-15:10948.42,2026-03-15,none,Deterministic calculation selected partial_payment.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Deterministic calculation selected full_payment.
request_170,35438320.22,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-14,none,Deterministic calculation selected installments.
request_171,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_172,10134.32,affordable_with_plan,partial_payment,2024-06-05:10134.32|2024-06-14:65.68,2024-06-14,none,Deterministic calculation selected partial_payment.
request_173,72503.68,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2025-12-14,none,Deterministic calculation selected installments.
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Deterministic calculation selected installments.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Deterministic calculation selected full_payment.
request_176,57.9,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Deterministic calculation selected full_payment.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Deterministic calculation selected installments.
request_179,19332199.28,affordable_later,wait,2025-07-14:41648000,2025-07-14,none,Deterministic calculation selected wait.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Deterministic calculation selected full_payment.
request_181,518.66,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Deterministic calculation selected full_payment.
request_183,7644672.39,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_184,14363.94,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_185,414.1,affordable_later,wait,2026-01-13:1257.3,2026-01-13,none,Deterministic calculation selected wait.
request_186,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_187,29425.42,affordable_later,wait,2024-11-12:187500,2024-11-12,none,Deterministic calculation selected wait.
request_188,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Deterministic calculation selected full_payment.
request_190,382.94,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,Deterministic calculation selected wait.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Deterministic calculation selected full_payment.
request_192,242.24,not_affordable,not_recommended,none,2026-06-13,none,Deterministic calculation selected not_recommended.
request_193,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_194,35016.73,affordable_later,wait,2025-10-13:132800,2025-10-13,none,Deterministic calculation selected wait.
request_195,971.94,not_affordable,not_recommended,none,2026-03-15,none,Deterministic calculation selected not_recommended.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Deterministic calculation selected full_payment.
request_197,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Deterministic calculation selected full_payment.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Deterministic calculation selected installments.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Deterministic calculation selected full_payment.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Deterministic calculation selected full_payment.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Deterministic calculation selected full_payment.
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Deterministic calculation selected installments.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Deterministic calculation selected full_payment.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Deterministic calculation selected full_payment.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Deterministic calculation selected installments.
request_207,7873.02,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Deterministic calculation selected wait.
request_208,2689842.26,affordable_later,wait,2024-06-14:4413000,2024-06-14,none,Deterministic calculation selected wait.
request_209,1468.02,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_210,1007.32,affordable_with_plan,partial_payment,2026-04-06:1007.32|2026-04-14:352.7,2026-04-14,none,Deterministic calculation selected partial_payment.
request_211,704.37,affordable_later,wait,2024-09-14:1788.6,2024-09-14,none,Deterministic calculation selected wait.
request_212,5300119.02,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Deterministic calculation selected installments.
request_214,30719.38,affordable_with_plan,partial_payment,2024-12-04:30719.38|2024-12-16:39030.62,2024-12-16,none,Deterministic calculation selected partial_payment.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Deterministic calculation selected installments.
request_216,442.06,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_217,18179.46,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,Deterministic calculation selected installments.
request_218,32215260.12,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-14,none,Deterministic calculation selected installments.
request_219,1294.1,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-14,none,Deterministic calculation selected installments.
request_220,268.88,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Deterministic calculation selected full_payment.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Deterministic calculation selected full_payment.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Deterministic calculation selected full_payment.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Deterministic calculation selected installments.
request_225,12479575.82,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-08-14,none,Deterministic calculation selected installments.
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Deterministic calculation selected full_payment.
request_227,17513.22,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_228,5327856.39,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_229,489.78,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-18,stop:event_21032,Deterministic calculation selected installments.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Deterministic calculation selected full_payment.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,Deterministic calculation selected installments.
request_232,973.58,affordable_later,wait,2024-08-13:1970.1,2024-08-13,none,Deterministic calculation selected wait.
request_233,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_234,287.48,affordable_later,wait,2026-09-13:1213.3,2026-09-13,none,Deterministic calculation selected wait.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Deterministic calculation selected full_payment.
request_236,6569494.68,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Deterministic calculation selected full_payment.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Deterministic calculation selected installments.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Deterministic calculation selected full_payment.
request_240,28100.52,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Deterministic calculation selected installments.
request_242,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Deterministic calculation selected full_payment.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Deterministic calculation selected full_payment.
request_245,47938.16,affordable_later,wait,2026-01-13:128500,2026-01-13,none,Deterministic calculation selected wait.
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Deterministic calculation selected installments.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Deterministic calculation selected full_payment.
request_248,723.7,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_249,154,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,Deterministic calculation selected wait.
request_250,17705.54,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,Deterministic calculation selected not_recommended.
request_252,7392920.52,affordable_later,wait,2026-08-14:28082000,2026-08-14,none,Deterministic calculation selected wait.
request_253,1213.4,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_254,943.92,affordable_later,wait,2025-09-13:3535.2,2025-09-13,none,Deterministic calculation selected wait.
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Deterministic calculation selected full_payment.
request_256,171513.32,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-14,none,Deterministic calculation selected installments.
request_257,617.3,affordable_later,wait,2025-11-14:1352.4,2025-11-14,none,Deterministic calculation selected wait.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Deterministic calculation selected full_payment.
request_259,500.48,affordable_later,wait,2024-11-13:935,2024-11-13,none,Deterministic calculation selected wait.
request_260,9549147.52,affordable_with_plan,partial_payment,2025-02-06:9549147.52|2025-04-15:42529852.48,2025-04-15,none,Deterministic calculation selected partial_payment.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Deterministic calculation selected full_payment.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Deterministic calculation selected full_payment.
request_263,6990.88,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_264,37957.45,affordable_later,wait,2026-05-14:111300,2026-05-14,none,Deterministic calculation selected wait.
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Deterministic calculation selected full_payment.
request_266,935,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Deterministic calculation selected installments.
request_267,244.26,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_268,1134.52,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-14,none,Deterministic calculation selected installments.
request_269,0,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_270,157.6,not_affordable,not_recommended,none,2026-08-14,none,Deterministic calculation selected not_recommended.
request_271,7440.84,not_affordable,not_recommended,none,,none,Deterministic calculation selected not_recommended.
request_272,6678816.68,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-16,none,Deterministic calculation selected installments.
